transcripts,file_name
"এই এ খতা লই আঁই বাজি গেইয়্যেগই দে, শান্তা আফা তারার হাতত। 
তুই কা বাইজ্জুস? 
আঁই বাইজ্জি দে অইলদি এন্ডে আঁরে দেইক্কে তো সামনাসামনি, এহতেরলাই। 
খনে দেইক্কে দে? 
ওই",test_chittagong (192).wav
"দুলাভাই। এডে বাজি গেই 
জেরিনর, জেরিনর ইবে? 
অ। দুলাভাই দেইক্কে আঁরে আর আফুরে, এনে আঁই বাজি গেইয়্যিগই।",test_chittagong (193).wav
"<> ফানলার। 
তই খরদে যুথিরে ফাইলে আঁই, যুথিরে ধরিবু খইয়্যে <> আঁই আর ন যাই ডরে। হেহে। 
তই দেইক্কে দে তোর লয় মাইত্যে নাকি? 
ন মাতে। 
তই তোরে কা ধইরতু? 
আঁরে ধইরতু কিল্লাই, জেরিন আফুর লয় আঁরে দেইক্কে দে।",test_chittagong (194).wav
"শান্তা দেইক্কে দে জেরিনর লয় তোরে। 
না, দুলাভাই দেইক্কে দে। 
আইচ্ছা, শান্তার জামাই। 
অ। এহতেরলাই। 
বউত ট্যানশনত আছি। 
তই?",test_chittagong (195).wav
"মামি, মামি তারার লয় খতাটতা খইয়্যুস না? 
মামি তারার লয় খতা? 
হুম? 
না, ন খই। বড়মামি গোশশা অইয়্যে ফানলার। 
কিল্লাই? 
ওই ঈদের আগে এক্কানা গরি কী কী লইয়ারে খতা খরদে আম্মু খতার মাঝখানে কল কাডি দিয়্যে।",test_chittagong (196).wav
"তই এরফরে। 
আইচ্ছা আঁই হুইননি। 
এরফরে অইলদি। 
এত্তে তোর চাচাতো বইন আছিলদি খাডি দিয়্যে দে আরি। 
অ। এরফরে। 
<> 
খত্তে? 
আজিয়ে আঁরে মেসেঞ্জারত দিয়্যে আবার এনে আঁর নাম্বারত দিয়্যি, খতা খইয়্যি। 
আঁর আম্মুর লয় খতা ন খয়।",test_chittagong (197).wav
"অয়, কল দিয়ি মনে অয়। আজিয়ে দিয়ে না ন জানি। না, আঁই যতদিন আসিলাম, এতদিনর বিতুরে একদিনও কল ন দে। এইল্লে ন দে দে এরি। তই, আঁরারেও দে না? অ্যাঁনে অইলদে আঁর আম্মুরে দুইদিন পরপর দুইদিন পরপর সবসময় কল দে।",test_chittagong (198).wav
,test_chittagong (199).wav
,test_chittagong (200).wav
,test_chittagong (201).wav
,test_chittagong (202).wav
,test_chittagong (203).wav
,test_chittagong (204).wav
,test_chittagong (205).wav
,test_chittagong (206).wav
,test_chittagong (207).wav
,test_chittagong (208).wav
,test_chittagong (209).wav
,test_chittagong (210).wav
,test_chittagong (211).wav
,test_chittagong (212).wav
,test_chittagong (213).wav
,test_chittagong (214).wav
,test_chittagong (215).wav
,test_chittagong (216).wav
,test_chittagong (217).wav
,test_chittagong (218).wav
,test_chittagong (219).wav
,test_chittagong (220).wav
,test_chittagong (221).wav
,test_chittagong (222).wav
,test_chittagong (223).wav
,test_chittagong (224).wav
,test_chittagong (225).wav
,test_chittagong (226).wav
,test_chittagong (227).wav
,test_chittagong (228).wav
,test_chittagong (229).wav
,test_chittagong (230).wav
,test_chittagong (231).wav
,test_chittagong (232).wav
,test_chittagong (233).wav
,test_chittagong (234).wav
,test_chittagong (235).wav
,test_chittagong (236).wav
,test_chittagong (237).wav
,test_chittagong (238).wav
,test_chittagong (239).wav
,test_chittagong (240).wav
,test_chittagong (241).wav
,test_chittagong (242).wav
,test_chittagong (243).wav
,test_chittagong (244).wav
,test_chittagong (245).wav
,test_chittagong (246).wav
,test_chittagong (247).wav
,test_chittagong (248).wav
,test_chittagong (249).wav
,test_chittagong (250).wav
,test_chittagong (251).wav
,test_chittagong (252).wav
,test_chittagong (253).wav
,test_chittagong (254).wav
,test_chittagong (255).wav
,test_chittagong (256).wav
,test_chittagong (257).wav
,test_chittagong (258).wav
,test_chittagong (259).wav
,test_chittagong (260).wav
,test_chittagong (261).wav
,test_chittagong (262).wav
,test_chittagong (263).wav
,test_chittagong (264).wav
,test_chittagong (265).wav
,test_chittagong (266).wav
,test_chittagong (267).wav
,test_chittagong (268).wav
,test_chittagong (269).wav
,test_chittagong (270).wav
,test_chittagong (271).wav
,test_chittagong (272).wav
,test_chittagong (273).wav
,test_chittagong (274).wav
,test_chittagong (275).wav
,test_chittagong (276).wav
,test_chittagong (277).wav
,test_chittagong (278).wav
,test_chittagong (279).wav
,test_chittagong (280).wav
,test_chittagong (281).wav
,test_chittagong (282).wav
,test_chittagong (283).wav
,test_chittagong (284).wav
,test_chittagong (285).wav
,test_chittagong (286).wav
,test_chittagong (287).wav
,test_chittagong (288).wav
,test_chittagong (289).wav
,test_chittagong (290).wav
,test_chittagong (291).wav
,test_chittagong (292).wav
,test_chittagong (293).wav
,test_chittagong (294).wav
,test_chittagong (295).wav
,test_chittagong (296).wav
,test_chittagong (297).wav
,test_chittagong (298).wav
,test_chittagong (299).wav
,test_chittagong (300).wav
,test_chittagong (301).wav
,test_chittagong (302).wav
,test_chittagong (303).wav
,test_chittagong (304).wav
,test_chittagong (305).wav
,test_chittagong (306).wav
,test_chittagong (307).wav
,test_chittagong (308).wav
,test_chittagong (309).wav
,test_chittagong (310).wav
,test_chittagong (311).wav
,test_chittagong (312).wav
,test_chittagong (313).wav
,test_chittagong (314).wav
,test_chittagong (315).wav
,test_chittagong (316).wav
,test_chittagong (317).wav
,test_chittagong (318).wav
,test_chittagong (319).wav
,test_chittagong (320).wav
,test_chittagong (321).wav
,test_chittagong (322).wav
,test_chittagong (323).wav
,test_chittagong (324).wav
,test_chittagong (325).wav
,test_chittagong (326).wav
,test_chittagong (327).wav
,test_chittagong (328).wav
,test_chittagong (329).wav
,test_chittagong (330).wav
,test_chittagong (331).wav
,test_chittagong (332).wav
,test_chittagong (333).wav
,test_chittagong (334).wav
,test_chittagong (335).wav
,test_chittagong (336).wav
,test_chittagong (337).wav
,test_chittagong (338).wav
,test_chittagong (339).wav
,test_chittagong (340).wav
,test_chittagong (341).wav
,test_chittagong (342).wav
,test_chittagong (343).wav
,test_chittagong (344).wav
,test_chittagong (345).wav
,test_chittagong (346).wav
,test_chittagong (347).wav
,test_chittagong (348).wav
,test_chittagong (349).wav
,test_chittagong (350).wav
,test_chittagong (351).wav
,test_chittagong (352).wav
,test_chittagong (353).wav
,test_chittagong (354).wav
,test_chittagong (355).wav
,test_kishoreganj (210).wav
,test_kishoreganj (211).wav
,test_kishoreganj (212).wav
,test_kishoreganj (213).wav
,test_kishoreganj (214).wav
,test_kishoreganj (215).wav
,test_kishoreganj (216).wav
,test_kishoreganj (217).wav
,test_kishoreganj (218).wav
,test_kishoreganj (219).wav
,test_kishoreganj (220).wav
,test_kishoreganj (221).wav
,test_kishoreganj (222).wav
,test_kishoreganj (223).wav
,test_kishoreganj (224).wav
,test_kishoreganj (225).wav
,test_kishoreganj (226).wav
,test_kishoreganj (227).wav
,test_kishoreganj (228).wav
,test_kishoreganj (229).wav
,test_kishoreganj (230).wav
,test_kishoreganj (231).wav
,test_kishoreganj (232).wav
,test_kishoreganj (233).wav
,test_kishoreganj (234).wav
,test_kishoreganj (235).wav
,test_kishoreganj (236).wav
,test_kishoreganj (237).wav
,test_kishoreganj (238).wav
,test_kishoreganj (239).wav
,test_kishoreganj (240).wav
,test_kishoreganj (241).wav
,test_kishoreganj (242).wav
,test_kishoreganj (243).wav
,test_kishoreganj (244).wav
,test_kishoreganj (245).wav
,test_kishoreganj (246).wav
,test_kishoreganj (247).wav
,test_kishoreganj (248).wav
,test_kishoreganj (249).wav
,test_kishoreganj (250).wav
,test_kishoreganj (251).wav
,test_kishoreganj (252).wav
,test_kishoreganj (253).wav
,test_kishoreganj (254).wav
,test_kishoreganj (255).wav
,test_kishoreganj (256).wav
,test_kishoreganj (257).wav
,test_kishoreganj (258).wav
,test_kishoreganj (259).wav
,test_kishoreganj (260).wav
,test_kishoreganj (261).wav
,test_kishoreganj (262).wav
,test_kishoreganj (263).wav
,test_kishoreganj (264).wav
,test_kishoreganj (265).wav
,test_kishoreganj (266).wav
,test_kishoreganj (267).wav
,test_kishoreganj (268).wav
,test_kishoreganj (269).wav
,test_kishoreganj (270).wav
,test_kishoreganj (271).wav
,test_kishoreganj (272).wav
,test_kishoreganj (273).wav
,test_kishoreganj (274).wav
,test_kishoreganj (275).wav
,test_kishoreganj (276).wav
,test_kishoreganj (277).wav
,test_kishoreganj (278).wav
,test_kishoreganj (279).wav
,test_kishoreganj (280).wav
,test_kishoreganj (281).wav
,test_kishoreganj (282).wav
,test_kishoreganj (283).wav
,test_kishoreganj (284).wav
,test_kishoreganj (285).wav
,test_kishoreganj (286).wav
,test_kishoreganj (287).wav
,test_kishoreganj (288).wav
,test_kishoreganj (289).wav
,test_kishoreganj (290).wav
,test_kishoreganj (291).wav
,test_kishoreganj (292).wav
,test_kishoreganj (293).wav
,test_kishoreganj (294).wav
,test_kishoreganj (295).wav
,test_kishoreganj (296).wav
,test_kishoreganj (297).wav
,test_kishoreganj (298).wav
,test_kishoreganj (299).wav
,test_kishoreganj (300).wav
,test_kishoreganj (301).wav
,test_kishoreganj (302).wav
,test_kishoreganj (303).wav
,test_kishoreganj (304).wav
,test_kishoreganj (305).wav
,test_kishoreganj (306).wav
,test_kishoreganj (307).wav
,test_kishoreganj (308).wav
,test_kishoreganj (309).wav
,test_kishoreganj (310).wav
,test_kishoreganj (311).wav
,test_kishoreganj (312).wav
,test_kishoreganj (313).wav
,test_kishoreganj (314).wav
,test_kishoreganj (315).wav
,test_kishoreganj (316).wav
,test_kishoreganj (317).wav
,test_kishoreganj (318).wav
,test_kishoreganj (319).wav
,test_kishoreganj (320).wav
,test_kishoreganj (321).wav
,test_kishoreganj (322).wav
,test_kishoreganj (323).wav
,test_kishoreganj (324).wav
,test_kishoreganj (325).wav
,test_kishoreganj (326).wav
,test_kishoreganj (327).wav
,test_kishoreganj (328).wav
,test_kishoreganj (329).wav
,test_kishoreganj (330).wav
,test_kishoreganj (331).wav
,test_kishoreganj (332).wav
,test_kishoreganj (333).wav
,test_kishoreganj (334).wav
,test_kishoreganj (335).wav
,test_kishoreganj (336).wav
,test_kishoreganj (337).wav
,test_kishoreganj (338).wav
,test_kishoreganj (339).wav
,test_kishoreganj (340).wav
,test_kishoreganj (341).wav
,test_kishoreganj (342).wav
,test_kishoreganj (343).wav
,test_kishoreganj (344).wav
,test_kishoreganj (345).wav
,test_kishoreganj (346).wav
,test_kishoreganj (347).wav
,test_kishoreganj (348).wav
,test_kishoreganj (349).wav
,test_kishoreganj (350).wav
,test_kishoreganj (351).wav
,test_kishoreganj (352).wav
,test_kishoreganj (353).wav
,test_kishoreganj (354).wav
,test_kishoreganj (355).wav
,test_kishoreganj (356).wav
,test_kishoreganj (357).wav
,test_kishoreganj (358).wav
,test_kishoreganj (359).wav
,test_kishoreganj (360).wav
,test_kishoreganj (361).wav
,test_kishoreganj (362).wav
,test_kishoreganj (363).wav
,test_kishoreganj (364).wav
,test_kishoreganj (365).wav
,test_kishoreganj (366).wav
,test_kishoreganj (367).wav
,test_kishoreganj (368).wav
,test_kishoreganj (369).wav
,test_kishoreganj (370).wav
,test_kishoreganj (371).wav
,test_kishoreganj (372).wav
,test_kishoreganj (373).wav
,test_kishoreganj (374).wav
,test_kishoreganj (375).wav
,test_kishoreganj (376).wav
,test_kishoreganj (377).wav
,test_kishoreganj (378).wav
,test_kishoreganj (379).wav
,test_kishoreganj (380).wav
,test_kishoreganj (381).wav
,test_kishoreganj (382).wav
,test_kishoreganj (383).wav
,test_kishoreganj (384).wav
,test_kishoreganj (385).wav
,test_kishoreganj (386).wav
,test_kishoreganj (387).wav
,test_kishoreganj (388).wav
,test_kishoreganj (389).wav
,test_kishoreganj (390).wav
,test_kishoreganj (391).wav
,test_kishoreganj (392).wav
,test_kishoreganj (393).wav
,test_kishoreganj (394).wav
,test_kishoreganj (395).wav
,test_kishoreganj (396).wav
,test_kishoreganj (397).wav
,test_kishoreganj (398).wav
,test_kishoreganj (399).wav
,test_kishoreganj (400).wav
,test_kishoreganj (401).wav
,test_kishoreganj (402).wav
,test_kishoreganj (403).wav
,test_kishoreganj (404).wav
,test_kishoreganj (405).wav
,test_kishoreganj (406).wav
,test_kishoreganj (407).wav
,test_kishoreganj (408).wav
,test_kishoreganj (409).wav
,test_kishoreganj (410).wav
,test_kishoreganj (411).wav
,test_kishoreganj (412).wav
,test_kishoreganj (413).wav
,test_kishoreganj (414).wav
,test_kishoreganj (415).wav
,test_kishoreganj (416).wav
,test_kishoreganj (417).wav
,test_kishoreganj (418).wav
,test_narail (189).wav
,test_narail (190).wav
,test_narail (191).wav
,test_narail (192).wav
,test_narail (193).wav
,test_narail (194).wav
,test_narail (195).wav
,test_narail (196).wav
,test_narail (197).wav
,test_narail (198).wav
,test_narail (199).wav
,test_narail (200).wav
,test_narail (201).wav
,test_narail (202).wav
,test_narail (203).wav
,test_narail (204).wav
,test_narail (205).wav
,test_narail (206).wav
,test_narail (207).wav
,test_narail (208).wav
,test_narail (209).wav
,test_narail (210).wav
,test_narail (211).wav
,test_narail (212).wav
,test_narail (213).wav
,test_narail (214).wav
,test_narail (215).wav
,test_narail (216).wav
,test_narail (217).wav
,test_narail (218).wav
,test_narail (219).wav
,test_narail (220).wav
,test_narail (221).wav
,test_narail (222).wav
,test_narail (223).wav
,test_narail (224).wav
,test_narail (225).wav
,test_narail (226).wav
,test_narail (227).wav
,test_narail (228).wav
,test_narail (229).wav
,test_narail (230).wav
,test_narail (231).wav
,test_narail (232).wav
,test_narail (233).wav
,test_narail (234).wav
,test_narail (235).wav
,test_narail (236).wav
,test_narail (237).wav
,test_narail (238).wav
,test_narail (239).wav
,test_narail (240).wav
,test_narail (241).wav
,test_narail (242).wav
,test_narail (243).wav
,test_narail (244).wav
,test_narail (245).wav
,test_narail (246).wav
,test_narail (247).wav
,test_narail (248).wav
,test_narail (249).wav
,test_narail (250).wav
,test_narail (251).wav
,test_narail (252).wav
,test_narail (253).wav
,test_narail (254).wav
,test_narail (255).wav
,test_narail (256).wav
,test_narail (257).wav
,test_narail (258).wav
,test_narail (259).wav
,test_narail (260).wav
,test_narail (261).wav
,test_narail (262).wav
,test_narail (263).wav
,test_narail (264).wav
,test_narail (265).wav
,test_narail (266).wav
,test_narail (267).wav
,test_narail (268).wav
,test_narail (269).wav
,test_narail (270).wav
,test_narail (271).wav
,test_narail (272).wav
,test_narail (273).wav
,test_narail (274).wav
,test_narail (275).wav
,test_narail (276).wav
,test_narail (277).wav
,test_narail (278).wav
,test_narail (279).wav
,test_narail (280).wav
,test_narail (281).wav
,test_narail (282).wav
,test_narail (283).wav
,test_narail (284).wav
,test_narail (285).wav
,test_narail (286).wav
,test_narail (287).wav
,test_narail (288).wav
,test_narail (289).wav
,test_narail (290).wav
,test_narail (291).wav
,test_narail (292).wav
,test_narail (293).wav
,test_narail (294).wav
,test_narail (295).wav
,test_narail (296).wav
,test_narail (297).wav
,test_narail (298).wav
,test_narail (299).wav
,test_narail (300).wav
,test_narail (301).wav
,test_narail (302).wav
,test_narail (303).wav
,test_narail (304).wav
,test_narail (305).wav
,test_narail (306).wav
,test_narail (307).wav
,test_narail (308).wav
,test_narail (309).wav
,test_narail (310).wav
,test_narail (311).wav
,test_narail (312).wav
,test_narail (313).wav
,test_narail (314).wav
,test_narail (315).wav
,test_narail (316).wav
,test_narail (317).wav
,test_narail (318).wav
,test_narail (319).wav
,test_narail (320).wav
,test_narail (321).wav
,test_narail (322).wav
,test_narail (323).wav
,test_narail (324).wav
,test_narail (325).wav
,test_narail (326).wav
,test_narail (327).wav
,test_narail (328).wav
,test_narail (329).wav
,test_narail (330).wav
,test_narail (331).wav
,test_narail (332).wav
,test_narail (333).wav
,test_narail (334).wav
,test_narail (335).wav
,test_narail (336).wav
,test_narail (337).wav
,test_narail (338).wav
,test_narail (339).wav
,test_narail (340).wav
,test_narail (341).wav
,test_narail (342).wav
,test_narail (343).wav
,test_narail (344).wav
,test_narail (345).wav
,test_narail (346).wav
,test_narail (347).wav
,test_narail (348).wav
,test_narail (349).wav
,test_narail (350).wav
,test_narail (351).wav
,test_narail (352).wav
,test_narail (353).wav
,test_narail (354).wav
,test_narail (355).wav
,test_narail (356).wav
,test_narail (357).wav
,test_narail (358).wav
,test_narail (359).wav
,test_narail (360).wav
,test_narail (361).wav
,test_narail (362).wav
,test_narail (363).wav
,test_narail (364).wav
,test_narail (365).wav
,test_narail (366).wav
,test_narail (367).wav
,test_narail (368).wav
,test_narail (369).wav
,test_narail (370).wav
,test_narail (371).wav
,test_narail (372).wav
,test_narail (373).wav
,test_narail (374).wav
,test_narail (375).wav
,test_narail (376).wav
,test_narsingdi (139).wav
,test_narsingdi (140).wav
,test_narsingdi (141).wav
,test_narsingdi (142).wav
,test_narsingdi (143).wav
,test_narsingdi (144).wav
,test_narsingdi (145).wav
,test_narsingdi (146).wav
,test_narsingdi (147).wav
,test_narsingdi (148).wav
,test_narsingdi (149).wav
,test_narsingdi (150).wav
,test_narsingdi (151).wav
,test_narsingdi (152).wav
,test_narsingdi (153).wav
,test_narsingdi (154).wav
,test_narsingdi (155).wav
,test_narsingdi (156).wav
,test_narsingdi (157).wav
,test_narsingdi (158).wav
,test_narsingdi (159).wav
,test_narsingdi (160).wav
,test_narsingdi (161).wav
,test_narsingdi (162).wav
,test_narsingdi (163).wav
,test_narsingdi (164).wav
,test_narsingdi (165).wav
,test_narsingdi (166).wav
,test_narsingdi (167).wav
,test_narsingdi (168).wav
,test_narsingdi (169).wav
,test_narsingdi (170).wav
,test_narsingdi (171).wav
,test_narsingdi (172).wav
,test_narsingdi (173).wav
,test_narsingdi (174).wav
,test_narsingdi (175).wav
,test_narsingdi (176).wav
,test_narsingdi (177).wav
,test_narsingdi (178).wav
,test_narsingdi (179).wav
,test_narsingdi (180).wav
,test_narsingdi (181).wav
,test_narsingdi (182).wav
,test_narsingdi (183).wav
,test_narsingdi (184).wav
,test_narsingdi (185).wav
,test_narsingdi (186).wav
,test_narsingdi (187).wav
,test_narsingdi (188).wav
,test_narsingdi (189).wav
,test_narsingdi (190).wav
,test_narsingdi (191).wav
,test_narsingdi (192).wav
,test_narsingdi (193).wav
,test_narsingdi (194).wav
,test_narsingdi (195).wav
,test_narsingdi (196).wav
,test_narsingdi (197).wav
,test_narsingdi (198).wav
,test_narsingdi (199).wav
,test_narsingdi (200).wav
,test_narsingdi (201).wav
,test_narsingdi (202).wav
,test_narsingdi (203).wav
,test_narsingdi (204).wav
,test_narsingdi (205).wav
,test_narsingdi (206).wav
,test_narsingdi (207).wav
,test_narsingdi (208).wav
,test_narsingdi (209).wav
,test_narsingdi (210).wav
,test_narsingdi (211).wav
,test_narsingdi (212).wav
,test_narsingdi (213).wav
,test_narsingdi (214).wav
,test_narsingdi (215).wav
,test_narsingdi (216).wav
,test_narsingdi (217).wav
,test_narsingdi (218).wav
,test_narsingdi (219).wav
,test_narsingdi (220).wav
,test_narsingdi (221).wav
,test_narsingdi (222).wav
,test_narsingdi (223).wav
,test_narsingdi (224).wav
,test_narsingdi (225).wav
,test_narsingdi (226).wav
,test_narsingdi (227).wav
,test_narsingdi (228).wav
,test_narsingdi (229).wav
,test_narsingdi (230).wav
,test_narsingdi (231).wav
,test_narsingdi (232).wav
,test_narsingdi (233).wav
,test_narsingdi (234).wav
,test_narsingdi (235).wav
,test_narsingdi (236).wav
,test_narsingdi (237).wav
,test_narsingdi (238).wav
,test_narsingdi (239).wav
,test_narsingdi (240).wav
,test_narsingdi (241).wav
,test_narsingdi (242).wav
,test_narsingdi (243).wav
,test_narsingdi (244).wav
,test_narsingdi (245).wav
,test_narsingdi (246).wav
,test_narsingdi (247).wav
,test_narsingdi (248).wav
,test_narsingdi (249).wav
,test_narsingdi (250).wav
,test_narsingdi (251).wav
,test_narsingdi (252).wav
,test_narsingdi (253).wav
,test_narsingdi (254).wav
,test_narsingdi (255).wav
,test_narsingdi (256).wav
,test_narsingdi (257).wav
,test_narsingdi (258).wav
,test_narsingdi (259).wav
,test_narsingdi (260).wav
,test_narsingdi (261).wav
,test_narsingdi (262).wav
,test_narsingdi (263).wav
,test_narsingdi (264).wav
,test_narsingdi (265).wav
,test_narsingdi (266).wav
,test_narsingdi (267).wav
,test_narsingdi (268).wav
,test_narsingdi (269).wav
,test_narsingdi (270).wav
,test_narsingdi (271).wav
,test_narsingdi (272).wav
,test_narsingdi (273).wav
,test_narsingdi (274).wav
,test_narsingdi (275).wav
,test_narsingdi (276).wav
,test_narsingdi (277).wav
,test_rangpur (133).wav
,test_rangpur (134).wav
,test_rangpur (135).wav
,test_rangpur (136).wav
,test_rangpur (137).wav
,test_rangpur (138).wav
,test_rangpur (139).wav
,test_rangpur (140).wav
,test_rangpur (141).wav
,test_rangpur (142).wav
,test_rangpur (143).wav
,test_rangpur (144).wav
,test_rangpur (145).wav
,test_rangpur (146).wav
,test_rangpur (147).wav
,test_rangpur (148).wav
,test_rangpur (149).wav
,test_rangpur (150).wav
,test_rangpur (151).wav
,test_rangpur (152).wav
,test_rangpur (153).wav
,test_rangpur (154).wav
,test_rangpur (155).wav
,test_rangpur (156).wav
,test_rangpur (157).wav
,test_rangpur (158).wav
,test_rangpur (159).wav
,test_rangpur (160).wav
,test_rangpur (161).wav
,test_rangpur (162).wav
,test_rangpur (163).wav
,test_rangpur (164).wav
,test_rangpur (165).wav
,test_rangpur (166).wav
,test_rangpur (167).wav
,test_rangpur (168).wav
,test_rangpur (169).wav
,test_rangpur (170).wav
,test_rangpur (171).wav
,test_rangpur (172).wav
,test_rangpur (173).wav
,test_rangpur (174).wav
,test_rangpur (175).wav
,test_rangpur (176).wav
,test_rangpur (177).wav
,test_rangpur (178).wav
,test_rangpur (179).wav
,test_rangpur (180).wav
,test_rangpur (181).wav
,test_rangpur (182).wav
,test_rangpur (183).wav
,test_rangpur (184).wav
,test_rangpur (185).wav
,test_rangpur (186).wav
,test_rangpur (187).wav
,test_rangpur (188).wav
,test_rangpur (189).wav
,test_rangpur (190).wav
,test_rangpur (191).wav
,test_rangpur (192).wav
,test_rangpur (193).wav
,test_rangpur (194).wav
